打倒,14
打倒褪,1
打卡,7
打圓場,15
打得,50
打得通,1
打掃,23
打消,9
打爛,19
打破,51
打算,219
打翻,6
打通,10
打電話,109
打風,9
打鼓嶺,1
托,177
托手踭,3
扣,118
扮,379
扯,140
扯旗,6
扯旗山,2
批,316
批中,2
扽,3
找,219
找數,27
承,504
承擔,31
承認,110
技,504
技巧,81
技術,133
抄,140
抆,16
抉擇,7
把,868
把守,2
投,710
投放,15
投票,104
投訴,95
投降,32
抖,108
抗,338
抗戰,12
抗拒,36
抗爭,89
抗疫,12
折,182
折腰,5
折衷,7
折返,11
抛,2
披,41
披星戴月,3
抱,260
抱石,4
抵,215
抵達,3
抽,393
抽中,10
抽奬,1
抽簽,2
抽籤,9
拆,186
拉,841
拉筋,5
拍,850
拍照,3
拒,189
拔,68
拖,623
拖慢,8
拖時間,3
拖長,6
拖鞋,27
拗,117
招,357
招徠,3
招攬,3
拜,422
拜會,2
拜祭,3
拜訪,8
拱,89
拱門,12
拳,207
拾,92
持,1117
持續,56
指,1238
指定,18
指定動作,4
指導,12
指引,26
指示,62
按,303
按序,1
按照,30
挑,199
挑機,7
挖,60
挨,41
挨住,7
振,136
振興,11
挺,53
挺身,9
捐,69
捐款,6
捐窿捐罅,1
捨,199
捱,138
捷,42
捷徑,23
捷足先登,1
掂,463
掃,183
掃興,7
授,157
掉,166
掉頭,8
掌,238
掌握,98
排,879
排行,7
排隊,58
掘,77
掘頭,1
掛,445
掛住,146
掠,16
掠奪,3
掠過,10
採,105
採用,32
採訪,12
採購,4
探,297
探索,17
掣,106
掣肘,2
接,1827
接受,410
接收,41
接近,238
控,381
控制,211
控訴,9
推,889
推廣,65
措施,30
揀,480
提,1428
提供,124
提出,131
提前,4
提升,71
提及,54
提早,32
提示,37
提議,53
提醒,119
提防,10
插,357
揚,181
換,694
握,229
揮,326
揮灑自如,3
援,107
援手,4
揸,157
揸緊,7
揸車,27
揼,50
損,113
損失,50
搏,92
搏命,7
搏大霧,1
搏鬥,7
搞,1801
搞到,309
搞掂,106
搞笑,42
搞邊科,10
搬,167
搭,515
搭的,19
搭的士,19
搭船,9
搭車,51
搵,2263
摧毀,28
摩,166
摷,14
摸,265
摺,68
摺埋,10
撇,46
撇開,9
撑,4
撞,462
撞啱,7
撞車,15
撟,1
撤,32
撤回,6
撤退,8
撥,140
撥款,6
撲,87
擇,543
擊,502
擋,73
擋土牆,1
操,204
操勞,1
擒,21
擔,456
擔保,13
據,576
據講,29
擦,106
